"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Pnet_umol.cm2.hr_skel","Pgross_skel"
"125",20170726,"RI_white",10,"WWB",9,"RI","RI_white","white",-0.512071044,-0.340829434
"126",20170722,"RI_white",3,"WWC",12,"RI","RI_white","white",-0.109424218,0.043259848
"127",20170722,"RI_white",3,"WWC",15,"RI","RI_white","white",-0.331059808,-0.289420763
"129",20170722,"RI_white",3,"WWC",6,"RI","RI_white","white",0.026834427,0.333585866
"130",20170722,"RI_white",3,"WWC",9,"RI","RI_white","white",-0.188257113,-0.146883881
"131",20170724,"RI_white",3,"WWD",12,"RI","RI_white","white",-0.2842532,-0.158373659
"132",20170724,"RI_white",3,"WWD",15,"RI","RI_white","white",-0.205566978,-0.273133522
"134",20170724,"RI_white",3,"WWD",6,"RI","RI_white","white",-0.05845702,0.146202181
"135",20170724,"RI_white",3,"WWD",9,"RI","RI_white","white",-0.220123517,-0.510977362
"136",20170725,"RI_white",5,"WWE",12,"RI","RI_white","white",0.307701771,0.091869283
"137",20170725,"RI_white",5,"WWE",15,"RI","RI_white","white",-0.023467938,-0.098568057
"139",20170725,"RI_white",5,"WWE",6,"RI","RI_white","white",-0.223338113,-0.083114839
"140",20170725,"RI_white",5,"WWE",9,"RI","RI_white","white",0.684982467,0.753498343
"141",20170726,"RI_white",8,"WWH",12,"RI","RI_white","white",-0.417786125,0.058817423
"142",20170726,"RI_white",8,"WWH",15,"RI","RI_white","white",-0.356413143,0.192302536
"144",20170726,"RI_white",8,"WWH",6,"RI","RI_white","white",0.257617076,0.302500498
"145",20170726,"RI_white",8,"WWH",9,"RI","RI_white","white",-0.623427467,-0.205187565
"146",20170722,"RI_white",6,"WWI",12,"RI","RI_white","white",-0.050140227,0.175663944
"147",20170722,"RI_white",6,"WWI",15,"RI","RI_white","white",-0.398198174,-0.179701279
"149",20170722,"RI_white",6,"WWI",6,"RI","RI_white","white",0.219577408,0.34277432
"150",20170722,"RI_white",6,"WWI",9,"RI","RI_white","white",-0.158525119,-0.154912395
"151",20170724,"RI_white",4,"WWJ",12,"RI","RI_white","white",-0.104638412,0.174496784
"152",20170724,"RI_white",4,"WWJ",15,"RI","RI_white","white",-0.262912311,-0.127379522
"154",20170724,"RI_white",4,"WWJ",6,"RI","RI_white","white",-0.169502172,-0.00022049
"155",20170724,"RI_white",4,"WWJ",9,"RI","RI_white","white",-0.116411461,-0.17713058
"156",20170725,"RI_white",9,"WWK",12,"RI","RI_white","white",-0.259205797,-0.211146699
"157",20170725,"RI_white",9,"WWK",15,"RI","RI_white","white",-0.287448614,0.040882742
"159",20170725,"RI_white",9,"WWK",6,"RI","RI_white","white",-0.27856743,-0.026675442
"160",20170725,"RI_white",9,"WWK",9,"RI","RI_white","white",0.444151448,0.697526404
"162",20170717,"VA_brown",5,"TBE",22,"VA","VA_brown","brown",-0.207393515,-0.025626018
"163",20170717,"VA_brown",5,"TBE",26,"VA","VA_brown","brown",-0.374804349,-0.055876061
"164",20170717,"VA_brown",5,"TBE",29,"VA","VA_brown","brown",-0.500338547,0.044891689
"165",20170717,"VA_brown",5,"TBE",32,"VA","VA_brown","brown",0.081558361,0.590584086
"167",20170719,"VA_brown",10,"TBF",22,"VA","VA_brown","brown",-0.291165486,-0.101345751
"168",20170719,"VA_brown",10,"TBF",26,"VA","VA_brown","brown",-0.020464634,0.289841304
"169",20170719,"VA_brown",10,"TBF",29,"VA","VA_brown","brown",-0.339361438,-0.031400558
"170",20170719,"VA_brown",10,"TBF",32,"VA","VA_brown","brown",-0.372166156,0.095892755
"172",20170721,"VA_brown",6,"TBG",22,"VA","VA_brown","brown",-0.213419262,0.121173057
"173",20170721,"VA_brown",6,"TBG",26,"VA","VA_brown","brown",-0.391835287,-0.040707144
"174",20170721,"VA_brown",6,"TBG",29,"VA","VA_brown","brown",-0.346863839,0.092281108
