RecNum	DateTime	ColdRamp07132017
1748	07/13/17 13:14:02.0	11.625
1749	07/13/17 13:15:02.0	11.528
1750	07/13/17 13:16:02.0	11.431
1751	07/13/17 13:17:02.0	11.334
1752	07/13/17 13:18:02.0	11.236
1753	07/13/17 13:19:02.0	11.139
1754	07/13/17 13:20:02.0	11.139
1755	07/13/17 13:21:02.0	11.041
1756	07/13/17 13:22:02.0	10.944
1757	07/13/17 13:23:02.0	10.944
1758	07/13/17 13:24:02.0	10.846
1759	07/13/17 13:25:02.0	10.846
1760	07/13/17 13:26:02.0	10.748
1761	07/13/17 13:27:02.0	10.651
1762	07/13/17 13:28:02.0	10.651
1763	07/13/17 13:29:02.0	10.553
1764	07/13/17 13:30:02.0	10.553
1765	07/13/17 13:31:02.0	10.455
1766	07/13/17 13:32:02.0	10.455
1767	07/13/17 13:33:02.0	10.455
1768	07/13/17 13:34:02.0	10.553
1769	07/13/17 13:35:02.0	10.553
1770	07/13/17 13:36:02.0	10.553
1771	07/13/17 13:37:02.0	10.553
1772	07/13/17 13:38:02.0	10.553
1773	07/13/17 13:39:02.0	10.553
1774	07/13/17 13:40:02.0	10.553
1775	07/13/17 13:41:02.0	10.553
1776	07/13/17 13:42:02.0	10.553
1777	07/13/17 13:43:02.0	10.553
1778	07/13/17 13:44:02.0	10.553
1779	07/13/17 13:45:02.0	10.553
1780	07/13/17 13:46:02.0	10.553
1781	07/13/17 13:47:02.0	10.553
1782	07/13/17 13:48:02.0	10.553
1783	07/13/17 13:49:02.0	10.553
1784	07/13/17 13:50:02.0	10.553
1785	07/13/17 13:51:02.0	10.553
1786	07/13/17 13:52:02.0	10.553
1787	07/13/17 13:53:02.0	10.553
1788	07/13/17 13:54:02.0	10.553
1789	07/13/17 13:55:02.0	10.553
1790	07/13/17 13:56:02.0	10.553
1791	07/13/17 13:57:02.0	10.553
1792	07/13/17 13:58:02.0	10.553
1793	07/13/17 13:59:02.0	10.553
1794	07/13/17 14:00:02.0	10.553
1795	07/13/17 14:01:02.0	10.553
1796	07/13/17 14:02:02.0	10.553
1797	07/13/17 14:03:02.0	10.553
1798	07/13/17 14:04:02.0	10.553
1799	07/13/17 14:05:02.0	10.553
1800	07/13/17 14:06:02.0	10.553
1801	07/13/17 14:07:02.0	10.553
1802	07/13/17 14:08:02.0	10.553
1803	07/13/17 14:09:02.0	10.651
1804	07/13/17 14:10:02.0	10.651
1805	07/13/17 14:11:02.0	10.651
1806	07/13/17 14:12:02.0	10.651
1807	07/13/17 14:13:02.0	10.651
1808	07/13/17 14:14:02.0	10.748
1809	07/13/17 14:15:02.0	10.846
1810	07/13/17 14:16:02.0	10.944
1811	07/13/17 14:17:02.0	10.944
1812	07/13/17 14:18:02.0	10.846
1813	07/13/17 14:19:02.0	10.846
1814	07/13/17 14:20:02.0	10.846
1815	07/13/17 14:21:02.0	10.944
1816	07/13/17 14:22:02.0	10.944
1817	07/13/17 14:23:02.0	10.944
1818	07/13/17 14:24:02.0	10.846
1819	07/13/17 14:25:02.0	10.944
1820	07/13/17 14:26:02.0	10.944
1821	07/13/17 14:27:02.0	10.944
1822	07/13/17 14:28:02.0	10.944
1823	07/13/17 14:29:02.0	10.846
1824	07/13/17 14:30:02.0	10.944
1825	07/13/17 14:31:02.0	10.944
1826	07/13/17 14:32:02.0	10.944
1827	07/13/17 14:33:02.0	10.846
1828	07/13/17 14:34:02.0	10.846
1829	07/13/17 14:35:02.0	10.748
1830	07/13/17 14:36:02.0	10.748
