DateTime	Temp	Temperature   (*F)		
08/28/16 17:24:00.0	23.15	73.68		
08/28/16 17:40:00.0	22.84	73.12		
08/28/16 17:56:00.0	22.21	71.98		
08/28/16 18:12:00.0	22.52	72.55		
08/28/16 18:28:00.0	21.89	71.42		
08/28/16 18:44:00.0	21.89	71.42		
08/28/16 19:00:00.0	21.28	70.31		
08/28/16 19:16:00.0	21.28	70.31		
08/28/16 19:32:00.0	20.97	69.75		
08/28/16 19:48:00.0	20.97	69.75		
08/28/16 20:04:00.0	21.89	71.42		
08/28/16 20:20:00.0	20.97	69.75		
08/28/16 20:36:00.0	21.28	70.31		
08/28/16 20:52:00.0	21.28	70.31		
08/28/16 21:08:00.0	21.28	70.31		
08/28/16 21:24:00.0	21.28	70.31		
08/28/16 21:40:00.0	21.58	70.86		
08/28/16 21:56:00.0	21.58	70.86		
08/28/16 22:12:00.0	21.58	70.86		
08/28/16 22:28:00.0	21.58	70.86		
08/28/16 22:44:00.0	21.58	70.86		
08/28/16 23:00:00.0	21.58	70.86		
08/28/16 23:16:00.0	21.58	70.86		
