"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Rdark_umol.cm2.hr_skel","abs_R_skel"
"189","20170721","VA_brown",9,"TBM","29","VA","VA_brown","brown",-0.414216358,0.414216358
"190","20170721","VA_brown",9,"TBM","32","VA","VA_brown","brown",-0.330428244,0.330428244
"192","20170718","VA_brown",3,"TBN","22","VA","VA_brown","brown",-0.27898996,0.27898996
"193","20170718","VA_brown",3,"TBN","26","VA","VA_brown","brown",-0.437366677,0.437366677
"194","20170718","VA_brown",3,"TBN","29","VA","VA_brown","brown",-0.577783171,0.577783171
"195","20170718","VA_brown",3,"TBN","32","VA","VA_brown","brown",-0.51029731,0.51029731
"197","20170717","VA_brown",10,"TBO","22","VA","VA_brown","brown",-0.204821499,0.204821499
"198","20170717","VA_brown",10,"TBO","26","VA","VA_brown","brown",-0.416176614,0.416176614
"199","20170717","VA_brown",10,"TBO","29","VA","VA_brown","brown",-0.637977627,0.637977627
"200","20170717","VA_brown",10,"TBO","32","VA","VA_brown","brown",-0.553967685,0.553967685
"202","20170717","VA_white",6,"TWA","22","VA","VA_white","white",-0.20463761,0.20463761
"203","20170717","VA_white",6,"TWA","26","VA","VA_white","white",-0.378428923,0.378428923
"204","20170717","VA_white",6,"TWA","29","VA","VA_white","white",-0.59497207,0.59497207
"205","20170717","VA_white",6,"TWA","32","VA","VA_white","white",-0.433960056,0.433960056
"207","20170717","VA_white",9,"TWD","22","VA","VA_white","white",-0.252407026,0.252407026
"208","20170717","VA_white",9,"TWD","26","VA","VA_white","white",-0.450176933,0.450176933
"209","20170717","VA_white",9,"TWD","29","VA","VA_white","white",-0.579805073,0.579805073
"210","20170717","VA_white",9,"TWD","32","VA","VA_white","white",-0.547590259,0.547590259
"212","20170721","VA_white",10,"TWH","22","VA","VA_white","white",-0.222085419,0.222085419
"213","20170721","VA_white",10,"TWH","26","VA","VA_white","white",-0.415486558,0.415486558
