,GxTemp,Date_skel,Chamber.Channel_skel,Genotype_skel,Temp_skel,Origin_skel,colorstate.x,Color_skel,Pnet_umol.cm2.hr_skel,Rdark_umol.cm2.hr_skel,Pgross_umol.cm2.hr_skel,Date_holo,Chamber.Channel_holo,Genotype_holo,Temp_holo,Origin_holo,colorstate.y,Color_holo,Pnet_umol.cm2.hr_holo,Rdark_umol.cm2.hr_holo,Pgross_umol.cm2.hr_holo,Pnet_umol.cm2.hr_corr,Rdark_umol.cm2.hr_corr,Pgross_umol.cm2.hr_corr
32,TBN_15,20170724,5,TBN,15,VA,VA_brown,brown,-0.173143328,-0.154163977,-0.018979351,20170713,8,TBN,15,VA,VA_brown,brown,-0.004933202,-0.151137397,0.146204195,0.168210126,0.00302658,0.165183546
33,TBN_18,20170724,5,TBN,18,VA,VA_brown,brown,-0.284949964,-0.242726256,-0.042223708,20170713,8,TBN,18,VA,VA_brown,brown,-0.260921793,-0.375179855,0.114258062,0.024028171,-0.132453599,0.15648177
34,TBN_6,20170724,5,TBN,6,VA,VA_brown,brown,-0.038904913,-0.100218707,0.061313794,20170713,8,TBN,6,VA,VA_brown,brown,-0.103471252,-0.235665087,0.132193835,-0.064566339,-0.13544638,0.070880041
35,TBN_9,20170724,5,TBN,9,VA,VA_brown,brown,-0.037341271,0.02582031,-0.063161581,20170713,8,TBN,9,VA,VA_brown,brown,0.059584685,-0.165786836,0.225371521,0.096925956,-0.191607146,0.288533102
36,TBO_12,20170722,7,TBO,12,VA,VA_brown,brown,0.076130683,-0.089606555,0.165737238,20170712,4,TBO,12,VA,VA_brown,brown,-0.156485065,-0.135554764,-0.020930301,-0.232615748,-0.045948209,-0.186667539
37,TBO_15,20170722,7,TBO,15,VA,VA_brown,brown,-0.200958005,-0.030796972,-0.170161033,20170712,4,TBO,15,VA,VA_brown,brown,-0.023250281,-0.230356662,0.207106381,0.177707724,-0.19955969,0.377267414
38,TBO_18,20170722,7,TBO,18,VA,VA_brown,brown,-0.121506858,-0.103122743,-0.018384115,20170712,4,TBO,18,VA,VA_brown,brown,-0.104200356,-0.315726708,0.211526352,0.017306502,-0.212603965,0.229910467
39,TBO_6,20170722,7,TBO,6,VA,VA_brown,brown,-0.062158082,-0.246831097,0.184673015,20170712,4,TBO,6,VA,VA_brown,brown,-0.065548486,-0.175571081,0.110022595,-0.003390404,0.071260016,-0.07465042
40,TBO_9,20170722,7,TBO,9,VA,VA_brown,brown,-0.143483011,-0.10188831,-0.041594701,20170712,4,TBO,9,VA,VA_brown,brown,-0.360421606,0.016966236,-0.377387842,-0.216938595,0.118854546,-0.335793141
41,TWA_12,20170722,9,TWA,12,VA,VA_white,white,0.143573515,-0.094007357,0.237580872,20170712,5,TWA,12,VA,VA_white,white,-0.459627888,-0.235382948,-0.22424494,-0.603201403,-0.141375591,-0.461825812
42,TWA_15,20170722,9,TWA,15,VA,VA_white,white,-0.422149546,-0.064077259,-0.358072287,20170712,5,TWA,15,VA,VA_white,white,-0.359513451,-0.408522744,0.049009293,0.062636095,-0.344445485,0.40708158
43,TWA_18,20170722,9,TWA,18,VA,VA_white,white,-0.037678099,-0.08460746,0.046929361,20170712,5,TWA,18,VA,VA_white,white,-0.539549327,-0.715156535,0.175607208,-0.501871228,-0.630549075,0.128677847
44,TWA_6,20170722,9,TWA,6,VA,VA_white,white,-0.050384379,-0.05179831,0.001413931,20170712,5,TWA,6,VA,VA_white,white,-0.211226214,0.040512968,-0.251739182,-0.160841835,0.092311278,-0.253153113
45,TWA_9,20170722,9,TWA,9,VA,VA_white,white,-0.193634455,-0.122872298,-0.070762157,20170712,5,TWA,9,VA,VA_white,white,-0.563338619,0.044324184,-0.607662803,-0.369704164,0.167196482,-0.536900646
46,TWD_12,20170722,10,TWD,12,VA,VA_white,white,0.027891632,-0.096645653,0.124537285,20170712,9,TWD,12,VA,VA_white,white,-0.490988734,-0.372587036,-0.118401698,-0.518880366,-0.275941383,-0.242938983
47,TWD_15,20170722,10,TWD,15,VA,VA_white,white,-0.245895667,-0.023113455,-0.222782212,20170712,9,TWD,15,VA,VA_white,white,-0.306137759,-0.448470344,0.142332585,-0.060242092,-0.425356889,0.365114797
48,TWD_18,20170722,10,TWD,18,VA,VA_white,white,-0.095702989,-0.034196676,-0.061506313,20170712,9,TWD,18,VA,VA_white,white,-0.622498469,-0.713029114,0.090530645,-0.52679548,-0.678832438,0.152036958
49,TWD_6,20170722,10,TWD,6,VA,VA_white,white,0.020679531,-0.102613851,0.123293382,20170712,9,TWD,6,VA,VA_white,white,-0.140556327,-0.032050486,-0.108505841,-0.161235858,0.070563365,-0.231799223
50,TWD_9,20170722,10,TWD,9,VA,VA_white,white,-0.198197178,-0.047676481,-0.150520697,20170712,9,TWD,9,VA,VA_white,white,-0.71170155,0.000927301,-0.712628851,-0.513504372,0.048603782,-0.562108154
51,TWH_12,20170726,4,TWH,12,VA,VA_white,white,-0.119618087,-0.194424327,0.07480624,20170716,6,TWH,12,VA,VA_white,white,-0.284261008,-0.346635392,0.062374384,-0.164642921,-0.152211065,-0.012431856
52,TWH_15,20170726,4,TWH,15,VA,VA_white,white,-0.19793359,-0.458598125,0.260664535,20170716,6,TWH,15,VA,VA_white,white,-0.355877168,-0.346759411,-0.009117757,-0.157943578,0.111838714,-0.269782292
53,TWH_18,20170726,4,TWH,18,VA,VA_white,white,-0.110879443,-0.084194462,-0.026684981,20170716,6,TWH,18,VA,VA_white,white,-0.364886979,-0.508128361,0.143241382,-0.254007536,-0.423933899,0.169926363
54,TWH_6,20170726,4,TWH,6,VA,VA_white,white,0.227943773,-0.0272804,0.255224173,20170716,6,TWH,6,VA,VA_white,white,-0.033546132,0.027596559,-0.061142691,-0.261489905,0.054876959,-0.316366864
55,TWH_9,20170726,4,TWH,9,VA,VA_white,white,-0.30151587,-0.320178646,0.018662776,20170716,6,TWH,9,VA,VA_white,white,0.036529425,-0.411059336,0.447588761,0.338045295,-0.09088069,0.428925985
56,TWI_12,20170725,4,TWI,12,VA,VA_white,white,-0.094085672,0.001787385,-0.095873057,20170714,9,TWI,12,VA,VA_white,white,-0.791593931,-0.213979617,-0.577614314,-0.697508259,-0.215767002,-0.481741257
57,TWI_15,20170725,4,TWI,15,VA,VA_white,white,-0.036244195,0.006519395,-0.04276359,20170714,9,TWI,15,VA,VA_white,white,-0.463439593,-0.369343179,-0.094096414,-0.427195398,-0.375862574,-0.051332824
58,TWI_18,20170725,4,TWI,18,VA,VA_white,white,-0.31637174,-0.2929447,-0.02342704,20170714,9,TWI,18,VA,VA_white,white,-0.90362482,-0.840039115,-0.063585705,-0.58725308,-0.547094415,-0.040158665
59,TWI_6,20170725,4,TWI,6,VA,VA_white,white,-0.315985297,-0.272848189,-0.043137108,20170714,9,TWI,6,VA,VA_white,white,0.01464569,-0.181517528,0.196163218,0.330630987,0.091330661,0.239300326
60,TWI_9,20170725,4,TWI,9,VA,VA_white,white,0.376113349,-0.011134631,0.38724798,20170714,9,TWI,9,VA,VA_white,white,-0.305356587,-0.505750411,0.200393824,-0.681469936,-0.49461578,-0.186854156
61,TWJ_12,20170724,9,TWJ,12,VA,VA_white,white,-0.127327111,-0.20323159,0.075904479,20170713,4,TWJ,12,VA,VA_white,white,-0.101085627,-0.24544839,0.144362763,0.026241484,-0.0422168,0.068458284
62,TWJ_15,20170724,9,TWJ,15,VA,VA_white,white,-0.056291993,-0.051821629,-0.004470364,20170713,4,TWJ,15,VA,VA_white,white,-0.125699572,-0.0943125,-0.031387072,-0.069407579,-0.042490871,-0.026916708
63,TWJ_18,20170724,9,TWJ,18,VA,VA_white,white,-0.369319489,-0.313919417,-0.055400072,20170713,4,TWJ,18,VA,VA_white,white,-0.254336454,-0.421186911,0.166850457,0.114983035,-0.107267494,0.222250529
64,TWJ_6,20170724,9,TWJ,6,VA,VA_white,white,0.132721647,-0.237119542,0.369841189,20170713,4,TWJ,6,VA,VA_white,white,-0.260755341,-0.059874489,-0.200880852,-0.393476988,0.177245053,-0.570722041
65,TWJ_9,20170724,9,TWJ,9,VA,VA_white,white,0.028222367,0.060756117,-0.03253375,20170713,4,TWJ,9,VA,VA_white,white,0.143089812,-0.16539015,0.308479962,0.114867445,-0.226146267,0.341013712
66,TWK_12,20170724,6,TWK,12,VA,VA_white,white,-0.150164744,-0.191444255,0.041279511,20170713,9,TWK,12,VA,VA_white,white,-0.145765658,-0.155611285,0.009845627,0.004399086,0.03583297,-0.031433884
67,TWK_15,20170724,6,TWK,15,VA,VA_white,white,-0.146889955,0.087620398,-0.234510353,20170713,9,TWK,15,VA,VA_white,white,-0.081797203,-0.197207293,0.11541009,0.065092752,-0.284827691,0.349920443
68,TWK_18,20170724,6,TWK,18,VA,VA_white,white,-0.356786835,-0.174981842,-0.181804993,20170713,9,TWK,18,VA,VA_white,white,-0.236109795,-0.455239106,0.219129311,0.12067704,-0.280257264,0.400934304
69,TWK_6,20170724,6,TWK,6,VA,VA_white,white,0.071720823,-0.038364081,0.110084904,20170713,9,TWK,6,VA,VA_white,white,-0.099932302,-0.242053377,0.142121075,-0.171653125,-0.203689296,0.032036171
70,TWK_9,20170724,6,TWK,9,VA,VA_white,white,-0.058218634,0.112483727,-0.170702361,20170713,9,TWK,9,VA,VA_white,white,0.074529331,-0.065120842,0.139650173,0.132747965,-0.177604569,0.310352534
71,TWL_12,20170726,9,TWL,12,VA,VA_white,white,-0.258196529,-0.330024489,0.07182796,20170716,10,TWL,12,VA,VA_white,white,-0.294089729,-0.18411965,-0.109970079,-0.0358932,0.145904839,-0.181798039
72,TWL_15,20170726,9,TWL,15,VA,VA_white,white,-0.277675534,-0.36076656,0.083091026,20170716,10,TWL,15,VA,VA_white,white,-0.308813757,-0.293794944,-0.015018813,-0.031138223,0.066971616,-0.098109839
73,TWL_18,20170726,9,TWL,18,VA,VA_white,white,-0.023576094,-0.208220853,0.184644759,20170716,10,TWL,18,VA,VA_white,white,-0.243319103,-0.36930715,0.125988047,-0.219743009,-0.161086297,-0.058656712
74,TWL_6,20170726,9,TWL,6,VA,VA_white,white,0.397237018,0.120835296,0.276401722,20170716,10,TWL,6,VA,VA_white,white,-0.113646637,-0.105744923,-0.007901714,-0.510883655,-0.226580219,-0.284303436
75,TWL_9,20170726,9,TWL,9,VA,VA_white,white,-0.238625247,-0.301633733,0.063008486,20170716,10,TWL,9,VA,VA_white,white,0.030509601,-0.250244093,0.280753694,0.269134848,0.05138964,0.217745208
76,TWM_12,20170725,6,TWM,12,VA,VA_white,white,0.178691356,-0.149279642,0.327970998,20170714,8,TWM,12,VA,VA_white,white,-0.520291775,-0.0464588,-0.473832975,-0.698983131,0.102820842,-0.801803973
77,TWM_15,20170725,6,TWM,15,VA,VA_white,white,-0.061153195,0.08329544,-0.144448635,20170714,8,TWM,15,VA,VA_white,white,-0.095562856,-0.443306428,0.347743572,-0.034409661,-0.526601868,0.492192207
78,TWM_18,20170725,6,TWM,18,VA,VA_white,white,-0.252428659,-0.421716362,0.169287703,20170714,8,TWM,18,VA,VA_white,white,-0.411596233,-0.52867882,0.117082587,-0.159167574,-0.106962458,-0.052205116
79,TWM_6,20170725,6,TWM,6,VA,VA_white,white,0.207808181,-0.074028028,0.281836209,20170714,8,TWM,6,VA,VA_white,white,0.234235382,-0.13587158,0.370106962,0.026427201,-0.061843552,0.088270753
80,TWM_9,20170725,6,TWM,9,VA,VA_white,white,0.496615063,-0.134057868,0.630672931,20170714,8,TWM,9,VA,VA_white,white,-0.262466167,-0.295513127,0.03304696,-0.75908123,-0.161455259,-0.597625971
81,WBC_12,20170725,3,WBC,12,RI,RI_brown,brown,0.146561387,0.370547137,-0.22398575,20170714,5,WBC,12,RI,RI_brown,brown,-0.189917377,0.069821802,-0.259739179,-0.336478764,-0.300725335,-0.035753429
82,WBC_15,20170725,3,WBC,15,RI,RI_brown,brown,0.141409465,0.196733609,-0.055324144,20170714,5,WBC,15,RI,RI_brown,brown,0.459422622,-0.044871327,0.504293949,0.318013157,-0.241604936,0.559618093
83,WBC_18,20170725,3,WBC,18,RI,RI_brown,brown,-0.243560905,-0.272305783,0.028744878,20170714,5,WBC,18,RI,RI_brown,brown,-0.013404803,-0.211355401,0.197950598,0.230156102,0.060950382,0.16920572
84,WBC_6,20170725,3,WBC,6,RI,RI_brown,brown,-0.284962311,-0.015358935,-0.269603376,20170714,5,WBC,6,RI,RI_brown,brown,0.276421205,-0.001403963,0.277825168,0.561383516,0.013954972,0.547428544
85,WBC_9,20170725,3,WBC,9,RI,RI_brown,brown,0.456549972,0.012627913,0.443922059,20170714,5,WBC,9,RI,RI_brown,brown,0.022674477,-0.238364246,0.261038723,-0.433875495,-0.250992159,-0.182883336
86,WBF_12,20170722,8,WBF,12,RI,RI_brown,brown,0.239219688,-0.033498096,0.272717784,20170712,6,WBF,12,RI,RI_brown,brown,-0.067846595,-0.007801082,-0.060045513,-0.307066283,0.025697014,-0.332763297
87,WBF_15,20170722,8,WBF,15,RI,RI_brown,brown,-0.257827204,-0.087626052,-0.170201152,20170712,6,WBF,15,RI,RI_brown,brown,0.213519748,-0.365560662,0.57908041,0.471346952,-0.27793461,0.749281562
88,WBF_18,20170722,8,WBF,18,RI,RI_brown,brown,0.005322057,-0.108176604,0.113498661,20170712,6,WBF,18,RI,RI_brown,brown,0.149313375,-0.821137235,0.97045061,0.143991318,-0.712960631,0.856951949
89,WBF_6,20170722,8,WBF,6,RI,RI_brown,brown,-0.596704247,0.008919215,-0.605623462,20170712,6,WBF,6,RI,RI_brown,brown,0.105227615,0.312758207,-0.207530592,0.701931862,0.303838992,0.39809287
90,WBF_9,20170722,8,WBF,9,RI,RI_brown,brown,-0.134586137,-0.046165721,-0.088420416,20170712,6,WBF,9,RI,RI_brown,brown,-0.229024089,-0.079161472,-0.149862617,-0.094437952,-0.032995751,-0.061442201
91,WBG_12,20170722,4,WBG,12,RI,RI_brown,brown,-0.281687393,-0.188403721,-0.093283672,20170712,10,WBG,12,RI,RI_brown,brown,0.059515213,-0.381335047,0.44085026,0.341202606,-0.192931326,0.534133932
92,WBG_15,20170722,4,WBG,15,RI,RI_brown,brown,-0.60423957,-0.328565364,-0.275674206,20170712,10,WBG,15,RI,RI_brown,brown,0.329257133,-0.561370815,0.890627948,0.933496703,-0.232805451,1.166302154
93,WBG_18,20170722,4,WBG,18,RI,RI_brown,brown,-0.432056222,-0.32457536,-0.107480862,20170712,10,WBG,18,RI,RI_brown,brown,0.329771332,-1.012556102,1.342327434,0.761827554,-0.687980742,1.449808296
94,WBG_6,20170722,4,WBG,6,RI,RI_brown,brown,-0.05655835,-0.251202609,0.194644259,20170712,10,WBG,6,RI,RI_brown,brown,0.042930486,0.138315199,-0.095384713,0.099488836,0.389517808,-0.290028972
95,WBG_9,20170722,4,WBG,9,RI,RI_brown,brown,-0.231181579,-0.14048799,-0.090693589,20170712,10,WBG,9,RI,RI_brown,brown,-0.258279332,-0.067697109,-0.190582223,-0.027097753,0.072790881,-0.099888634
96,WBI_12,20170724,10,WBI,12,RI,RI_brown,brown,-0.236669426,-0.276969979,0.040300553,20170713,10,WBI,12,RI,RI_brown,brown,0.279719653,-0.25617233,0.535891983,0.516389079,0.020797649,0.49559143
97,WBI_15,20170724,10,WBI,15,RI,RI_brown,brown,-0.12293937,0.04887588,-0.17181525,20170713,10,WBI,15,RI,RI_brown,brown,0.3047082,-0.292468102,0.597176302,0.42764757,-0.341343982,0.768991552
98,WBI_18,20170724,10,WBI,18,RI,RI_brown,brown,-0.414291998,-0.212438235,-0.201853763,20170713,10,WBI,18,RI,RI_brown,brown,-0.049034518,-0.582295971,0.533261453,0.36525748,-0.369857736,0.735115216
99,WBI_6,20170724,10,WBI,6,RI,RI_brown,brown,0.129053748,-0.289785215,0.418838963,20170713,10,WBI,6,RI,RI_brown,brown,0.004126762,-0.149991284,0.154118046,-0.124926986,0.139793931,-0.264720917
100,WBI_9,20170724,10,WBI,9,RI,RI_brown,brown,-0.268717388,0.289840047,-0.558557435,20170713,10,WBI,9,RI,RI_brown,brown,0.167332655,-0.213516978,0.380849633,0.436050043,-0.503357025,0.939407068
101,WBK_12,20170724,8,WBK,12,RI,RI_brown,brown,-0.820192213,-0.289212161,-0.530980052,20170713,3,WBK,12,RI,RI_brown,brown,-0.145975915,-0.188335623,0.042359708,0.674216298,0.100876538,0.57333976
102,WBK_15,20170724,8,WBK,15,RI,RI_brown,brown,-0.235566589,-0.211918708,-0.023647881,20170713,3,WBK,15,RI,RI_brown,brown,0.015074601,-0.17134427,0.186418871,0.25064119,0.040574438,0.210066752
103,WBK_18,20170724,8,WBK,18,RI,RI_brown,brown,-0.444536031,-0.394245482,-0.050290549,20170713,3,WBK,18,RI,RI_brown,brown,-0.000302986,-0.693654559,0.693351573,0.444233045,-0.299409077,0.743642122
104,WBK_6,20170724,8,WBK,6,RI,RI_brown,brown,-0.068736775,-0.215401023,0.146664248,20170713,3,WBK,6,RI,RI_brown,brown,-0.411847478,-0.198511958,-0.21333552,-0.343110703,0.016889065,-0.359999768
105,WBK_9,20170724,8,WBK,9,RI,RI_brown,brown,0.215767211,0.094978114,0.120789097,20170713,3,WBK,9,RI,RI_brown,brown,0.145088676,-0.260677727,0.405766403,-0.070678535,-0.355655841,0.284977306
106,WBN_12,20170726,6,WBN,12,RI,RI_brown,brown,-0.127467233,-0.319112184,0.191644951,20170716,9,WBN,12,RI,RI_brown,brown,-0.301066406,-0.375376536,0.07431013,-0.173599173,-0.056264352,-0.117334821
107,WBN_15,20170726,6,WBN,15,RI,RI_brown,brown,-0.184717013,-0.212457258,0.027740245,20170716,9,WBN,15,RI,RI_brown,brown,-0.379412021,-0.2452175,-0.134194521,-0.194695008,-0.032760242,-0.161934766
108,WBN_18,20170726,6,WBN,18,RI,RI_brown,brown,0.105014523,-0.003267114,0.108281637,20170716,9,WBN,18,RI,RI_brown,brown,-0.307285829,-0.534714196,0.227428367,-0.412300352,-0.531447082,0.11914673
109,WBN_6,20170726,6,WBN,6,RI,RI_brown,brown,0.305397726,0.090799073,0.214598653,20170716,9,WBN,6,RI,RI_brown,brown,-0.150358233,-0.088882234,-0.061475999,-0.455755959,-0.179681307,-0.276074652
110,WBN_9,20170726,6,WBN,9,RI,RI_brown,brown,-0.284410073,-0.157947657,-0.126462416,20170716,9,WBN,9,RI,RI_brown,brown,0.184290107,-0.447134639,0.631424746,0.46870018,-0.289186982,0.757887162
111,WBO_12,20170725,7,WBO,12,RI,RI_brown,brown,0.229952372,0.145203951,0.084748421,20170714,7,WBO,12,RI,RI_brown,brown,-0.473754028,-0.013345351,-0.460408677,-0.7037064,-0.158549302,-0.545157098
112,WBO_15,20170725,7,WBO,15,RI,RI_brown,brown,0.274259497,0.145526321,0.128733176,20170714,7,WBO,15,RI,RI_brown,brown,-0.101060957,-0.195626203,0.094565246,-0.375320454,-0.341152524,-0.03416793
113,WBO_18,20170725,7,WBO,18,RI,RI_brown,brown,-0.247908942,-0.399102557,0.151193615,20170714,7,WBO,18,RI,RI_brown,brown,-0.507791738,-0.352435213,-0.155356525,-0.259882796,0.046667344,-0.30655014
114,WBO_6,20170725,7,WBO,6,RI,RI_brown,brown,-0.123611854,-0.194154535,0.070542681,20170714,7,WBO,6,RI,RI_brown,brown,0.159224238,-0.129735155,0.288959393,0.282836092,0.06441938,0.218416712
115,WBO_9,20170725,7,WBO,9,RI,RI_brown,brown,0.461330596,-0.078252031,0.539582627,20170714,7,WBO,9,RI,RI_brown,brown,-0.211948811,-0.266959742,0.055010931,-0.673279407,-0.188707711,-0.484571696
116,WBP_12,20170726,5,WBP,12,RI,RI_brown,brown,-0.124896127,-0.208449179,0.083553052,20170716,3,WBP,12,RI,RI_brown,brown,-0.041012659,-0.077665483,0.036652824,0.083883468,0.130783696,-0.046900228
117,WBP_15,20170726,5,WBP,15,RI,RI_brown,brown,-0.120720432,-0.35572566,0.235005228,20170716,3,WBP,15,RI,RI_brown,brown,-0.00359801,-0.015971677,0.012373667,0.117122422,0.339753983,-0.222631561
